soc2010,f1,f2,clust,soc2010_occs,cluster
514035,-.83293241,.52686012,3,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Three
514041,-.2125435,1.7090764,3,Machinists,Three
514051,-1.1048079,.46417865,3,Metal-Refining Furnace Operators and Tenders,Three
514052,-1.5325848,.078099594,3,"Pourers and Casters, Metal",Three
514061,-.16877843,2.0287795,2,"Model Makers, Metal and Plastic",Two
514062,.20494395,2.464148,2,"Patternmakers, Metal and Plastic",Two
514071,-1.3626113,.36219406,3,Foundry Mold and Coremakers,Three
514072,-1.0064852,.4406741,3,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Three
514081,-.63725334,1.1281116,3,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Three
514111,.69354373,3.1154921,2,Tool and Die Makers,Two
514121,-1.1535666,1.0479915,3,"Welders, Cutters, Solderers, and Brazers",Three
514122,-.93772197,.61695844,3,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Three
514191,-.89071536,.37383804,3,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Three
514192,-.64797735,1.0595928,3,"Layout Workers, Metal and Plastic",Three
514193,-.93322504,.62864375,3,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Three
514194,-.74903029,.87412328,3,"Tool Grinders, Filers, and Sharpeners",Three
515111,.30115339,-.33818316,1,Prepress Technicians and Workers,One
515112,-.68692762,.32234737,3,Printing Press Operators,Three
515113,-.85456359,.22258572,3,Print Binding and Finishing Workers,Three
516011,-1.5423957,.49211806,3,Laundry and Dry-Cleaning Workers,Three
516021,-1.6358404,.33369946,3,"Pressers, Textile, Garment, and Related Materials",Three
516031,-1.6227326,.46697173,3,Sewing Machine Operators,Three
516041,-1.8040916,.56712651,3,Shoe and Leather Workers and Repairers,Three
516042,-1.2586886,.29179046,3,Shoe Machine Operators and Tenders,Three
516051,-.87285829,.66972524,3,"Sewers, Hand",Three
516052,-1.3243918,1.0745471,3,"Tailors, Dressmakers, and Custom Sewers",Three
516061,-.78382134,.31830651,3,Textile Bleaching and Dyeing Machine Operators and Tenders,Three
516062,-.54847759,.67866021,3,"Textile Cutting Machine Setters, Operators, and Tenders",Three
516063,-1.4495382,.08457002,3,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Three
516064,-.98445421,.29419705,3,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Three
516091,-.89128935,-.14303462,3,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Three
516092,.23300157,1.0087827,3,Fabric and Apparel Patternmakers,Three
516093,-.91549098,.80414641,3,Upholsterers,Three
517011,-.49331671,1.6813414,3,Cabinetmakers and Bench Carpenters,Three
517021,-1.5324557,.41194066,3,Furniture Finishers,Three
517031,.0038928059,1.8909155,2,"Model Makers, Wood",Two
517032,-.3579309,2.2896156,2,"Patternmakers, Wood",Two
517041,-1.452703,.5692721,3,"Sawing Machine Setters, Operators, and Tenders, Wood",Three
517042,-1.1211519,.7473498,3,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Three
518011,.65938336,-.40986055,1,Nuclear Power Reactor Operators,One
518012,.5489918,.19471268,1,Power Distributors and Dispatchers,One
518013,-.12309484,-.25889689,1,Power Plant Operators,One
518021,.42661336,-.063828453,1,Stationary Engineers and Boiler Operators,One
518031,.30088994,.45704341,3,Water and Wastewater Treatment Plant and System Operators,Three
518091,-.46374363,-.2907013,3,Chemical Plant and System Operators,Three
518092,-.13354215,.47858614,3,Gas Plant Operators,Three
518093,.38643265,-.19606289,1,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",One
518099,.27422002,.49536777,3,"Plant and System Operators, All Other",Three
519011,.17761953,.26941007,3,Chemical Equipment Operators and Tenders,Three
519012,-.65236437,.27084222,3,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Three
519021,-.7286424,.54804486,3,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Three
519022,-.7772724,.8618288,3,"Grinding and Polishing Workers, Hand",Three
519023,-.99916059,.25468934,3,"Mixing and Blending Machine Setters, Operators, and Tenders",Three
519031,-1.6513621,.90132618,3,"Cutters and Trimmers, Hand",Three
519032,-.70497221,.14980033,3,"Cutting and Slicing Machine Setters, Operators, and Tenders",Three
519041,-.48208791,.39028552,3,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Three
519051,-.80761856,-.12857977,3,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Three
519061,-.6247437,-.11013891,3,"Inspectors, Testers, Sorters, Samplers, and Weighers",Three
519071,-.69309324,1.0211143,3,Jewelers and Precious Stone and Metal Workers,Three
519081,-.35073456,1.3351886,3,Dental Laboratory Technicians,Three
519082,.018752355,1.3527855,3,Medical Appliance Technicians,Three
519083,-.60131574,.33886924,3,Ophthalmic Laboratory Technicians,Three
519111,-1.1586983,-.20679788,3,Packaging and Filling Machine Operators and Tenders,Three
519121,-.90740001,.22080776,3,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Three
519122,-.71205461,.0054221116,3,"Painters, Transportation Equipment",Three
519123,-1.5958002,.42113501,3,"Painting, Coating, and Decorating Workers",Three
519141,-.3467465,.24668279,3,Semiconductor Processors,Three
519151,,,.,Photographic Process Workers and Processing Machine Operators,
519191,-.96017504,.13473563,3,Adhesive Bonding Machine Operators and Tenders,Three
519192,-1.5735978,.43138948,3,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Three
519193,-.37557539,.36021248,3,Cooling and Freezing Equipment Operators and Tenders,Three
519194,-.68654567,.68630916,3,Etchers and Engravers,Three
519195,-.75332636,.81634378,3,"Molders, Shapers, and Casters, Except Metal and Plastic",Three
519196,-.72459763,.030286076,3,"Paper Goods Machine Setters, Operators, and Tenders",Three
519197,-1.0222421,.22716613,3,Tire Builders,Three
519198,-1.1192323,.25167769,3,Helpers--Production Workers,Three
519199,-1.0941859,.61639416,3,"Production Workers, All Other",Three
531011,.22161873,-.52567881,1,Aircraft Cargo Handling Supervisors,One
531021,.055947635,-.49070615,1,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",One
531031,.31107876,-.55397409,1,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,One
532011,.94929343,-1.100726,1,"Airline Pilots, Copilots, and Flight Engineers",One
532012,.07080546,-.30754098,1,Commercial Pilots,One
532021,.54219198,-.8495056,1,Air Traffic Controllers,One
532022,.25012061,-.15314445,1,Airfield Operations Specialists,One
532031,-.99604326,-.19582497,3,Flight Attendants,Three
